Store ID,Street Address,City,State/Province,Postcode,Latitude,Longitude
7611,10015 Gravois Road,Affton,MO,63123,38.55,-90.33
7612,3849 Vogel Rd,Arnold,MO,63010,38.41,-90.4
7613,3884 State Route 141,Arnold,MO,63010,38.44,-90.37
7614,708 S Elliott,Aurora,MO,656052210,36.97,-93.72
7615,"1272 Town & Country Crossing, Olde Towne Plaza",Ballwin,MO,63011,38.62,-90.52
7616,"14900 Manchester Road, Belton Marketplace",Ballwin,MO,630114621,38.59,-90.54
7617,1113 E North Ave,Belton,MO,640125105,38.81,-94.52
7618,704 N Highway 7,Blue Springs,MO,64014,39.02,-94.27
7619,1040 NE Coronado,Blue Springs,MO,640142971,39.03,-94.25
7620,200 Ozark Scenic Dr,Branson,MO,65616,36.65,-93.25
7621,201 East Main Street,Branson,MO,656162715,36.64,-93.22
7622,1447 State Highway 248 Ste J,Branson,MO,65615,36.66,-93.24
7623,2300 S Brentwood Blvd.,Brentwood,MO,631442026,38.62,-90.35
7624,25 Brentwood Promenade Court,Brentwood,MO,631441428,38.63,-90.34
7625,12275 St Charles Rock Rd,Bridgeton,MO,630442502,38.75,-90.43
7626,"188 Vantage Dr., Suite 100",Cape Girardeau,MO,637014915,37.3,-89.58
7627,202 Siemens Dr,Cape Girardeau,MO,637018419,37.33,-89.56
7628,"Normal Ave and Henderson Street, University Center",Cape Girardeau,MO,63701,37.31,-89.53
7629,"18521 Outlet Blvd K#01, Dierbergs Market Place",Chesterfield,MO,63005,38.64,-90.63
7630,"1720 Clarkson Road, The Plaza at Boone's Crossing",Chesterfield,MO,630174976,38.64,-90.57
7631,"17293 Chesterfield Airport Rd, Chesterfield Mall",Chesterfield,MO,630051423,38.67,-90.6
7632,"291 Chesterfield Mall, #792",Chesterfield,MO,63017,38.65,-90.57
7633,"40 THF Blvd, Prestige Chesterfield",Chesterfield,MO,63005,38.67,-90.59
7634,"17081 N. Outer 40 Rd., #208",Chesterfield,MO,63005,38.67,-90.59
7635,7645 Wydown Bovd,Clayton,MO,631052641,38.64,-90.33
7636,2 North Central,Clayton,MO,631053813,38.65,-90.34
7637,1729 W Broadway,Columbia,MO,65203,38.95,-92.36
7638,3100 W Broadway,Columbia,MO,652030102,38.95,-92.38
7639,"2500 Broadway Bluffs Drive, 100",Columbia,MO,652018127,38.95,-92.3
7640,"2901 W. Broadway, Suite 117",Columbia,MO,652030669,38.96,-92.38
7641,304 South 9th Street,Columbia,MO,652015007,38.95,-92.33
7642,2400 Bernadette Dr,Columbia,MO,65203,38.97,-92.38
7643,605 E. Nifong Blvd,Columbia,MO,65201,38.91,-92.33
7644,N 121 Memorial Union,Columbia,MO,65211,38.94,-92.33
7645,9590 Watson Road,Crestwood,MO,631261515,38.56,-90.38
7646,11481 Olive Blvd,Creve Coeur,MO,63141,38.67,-90.44
7647,11464 Olive Street,Creve Coeur,MO,631417109,38.67,-90.44
7648,"7955 Hwy N, West County",Dardenne,MO,633687382,38.77,-90.76
7649,105 WEST COUNTY CENTER,DES PERES,MO,63131,38.6,-90.45
7650,"1080 Lindeman Road, West County Mall",Des Peres,MO,63131,38.6,-90.43
7651,"80 West County Centre, 9020",Des Peres,MO,631313701,38.6,-90.45
7652,"699 Gravois Bluffs Blvd., 101, W Florissant and Somerset",Fenton,MO,630267715,38.51,-90.44
7653,10776 W. Florissant Ave,Ferguson,MO,63135,38.77,-90.28
7654,"1261 Graham Rd, N Lindbergh and New Halls Ferry",Florissant,MO,630318014,38.78,-90.34
7655,3025 N Lindbergh,Florissant,MO,63033,38.81,-90.3
7656,"14145 North Dakota Avenue, Prospect Plaza Shopping Center",Ft. Leonard Wood,MO,654738936,37.75,-92.11
7657,"6417 North Prospect Avenue, #408",Gladstone,MO,641191545,39.21,-94.55
7658,7117 N Prospect AVE,Gladstone,MO,64119,39.22,-94.55
7659,12220 S US Highway 71,GRANDVIEW,MO,64030,38.88,-94.52
7660,520 S Commercial St,Harrisonville,MO,64701,38.65,-94.36
7661,7537 N. Lindbergh Blvd.,Hazelwood,MO,630422122,38.79,-90.35
7662,"200 S. Town Blvd., Blue Ridge Crossing",Hollister,MO,65672,36.58,-93.2
7663,11815 E Highway 40,Independence,MO,64055,39.05,-94.44
7664,"18700 E. 39th St, Independence Center",Independence,MO,64057,39.05,-94.36
7665,"18801 E. 39th St. South, #F10D",Independence,MO,64057,39.05,-94.36
7666,4545 S Noland Road,Independence,MO,640554887,39.04,-94.41
7667,1516 A East 23rd Street,Independence,MO,640551657,39.08,-94.39
7668,1525 E 23rd St S,Independence,MO,64055,39.08,-94.39
7669,"18813 E. 39th Street South, Lee's Summit",Independence,MO,64057,39.05,-94.36
7670,125 SE State Route 291,Jackson,MO,64063,38.92,-94.36
7671,735 W Stadium Blvd,Jefferson City,MO,651094753,38.58,-92.21
7672,3721 W Truman Blvd,Jefferson City,MO,651090536,38.59,-92.25
7673,"1870 S Maiden Lane, North Park Crossing",Joplin,MO,648013827,37.07,-94.53
7674,"323 S Rangeline Rd, 100",Joplin,MO,648011609,37.09,-94.48
7675,3151 E 7th St,Joplin,MO,648015581,37.09,-94.47
7676,3324 S Range Line Rd,Joplin,MO,648044427,37.05,-94.48
7677,5330 NW 64th Street,Kansas City,MO,64151,39.21,-94.64
7678,9220 NE Barry Rd,Kansas City,MO,641571209,39.25,-94.46
7679,601 Brasilia Ave,Kansas City,MO,64153,39.31,-94.72
7680,9040 NW Skyview Ave,Kansas City,MO,641548501,39.26,-94.66
7681,"500 NE Barry Rd, Boardwalk Square",Kansas City,MO,64155,39.25,-94.57
7682,6234 W Barry Rd,Kansas City,MO,641542530,39.25,-94.65
7683,241 Paris St,Kansas City,MO,641531121,39.3,-94.72
7684,"1301 Wyandotte St, Southmarket Shopping Center",Kansas City,MO,641051626,39.1,-94.59
7685,13121 State Line Road,Kansas City,MO,641451650,38.89,-94.61
7686,8420 N Madison Ave,Kansas City,MO,641552777,39.25,-94.59
7687,Rome Circle,Kansas City,MO,64153,39.3,-94.72
7688,1201 W 136th St,Kansas City,MO,641451647,38.88,-94.61
7689,"4820 N Oak TFWY, Country Club Plaza",Kansas City,MO,641184691,39.21,-94.57
7690,302 Nichols Rd.,Kansas City,MO,641121525,39.04,-94.59
7691,1701 W. 39th Street,Kansas City,MO,641114403,39.06,-94.61
7692,4101 Main Street,Kansas City,MO,641112314,39.05,-94.59
7693,"8509 State Line Rd, Ward Parkway Shopping Center",Kansas City,MO,641142723,38.97,-94.61
7694,8600 Ward Parkway,Kansas City,MO,641142614,38.97,-94.61
7695,207 NE Englewood Road,Kansas City,MO,641184586,39.2,-94.58
7696,"1100 Main St, Suite 119, Country Club Plaza",Kansas City,MO,641055106,39.1,-94.58
7697,427 Nichols Rd.,Kansas City,MO,64112,39.04,-94.59
7698,601 Brasilia Ave,Kansas City,MO,64153,39.31,-94.72
7699,9595 N. McGee St,Kansas City,MO,64155,39.27,-94.58
7700,241 Paris St,Kansas City,MO,641531121,39.29,-94.71
7701,6238 N Chatham Ave,Kansas City,MO,641512472,39.21,-94.64
7702,MCI,Kansas City,MO,64153,39.25,-94.67
7703,500 N Baltimore St,Kirksville,MO,63501,40.2,-92.57
7704,343 S. Kirkwood,Kirkwood,MO,631226195,38.58,-90.41
7705,1500 S. Lindbergh Blvd.,Ladue,MO,63131,38.63,-90.4
7706,6319 Ronald Reagan Drive,Lake St. Louis,MO,633672681,38.77,-90.78
7707,550 N Jefferson Ave,Lebanon,MO,655362744,37.68,-92.67
7708,701 NW Blue Pkwy,Lee's Summit,MO,640865700,38.93,-94.4
7709,"1600 SE Blue Parkway, Summit Woods Crossing",Lee's Summit,MO,64063,38.9,-94.34
